MH_05,LM_30,LM_40,BH_35A,BH_35B,BH_35E,BH_40A,BH_40B,BH_40C,BH_40D,BH_40E,BH_40F,BH_40G,BH_40H,AGEGRP,SEX,PCHILD,MARSTATC,DWELCODC,PEDUC_LC,PTELEWSC,PEMPSTC,PFSCDV,PERS_WGT
4,6,4,1,4,2,3,3,3,3,1,1,1,1,4,2,1,1,1,7,9,4,0,18021.9886
2,5,4,3,4,3,3,3,3,1,1,1,3,3,4,1,0,4,1,4,1,1,0,5488.7524
3,6,2,1,4,2,3,3,3,1,3,1,3,1,3,1,1,1,1,2,9,4,0,3923.1135
2,4,2,4,4,2,3,3,3,2,1,1,3,3,4,1,0,1,1,6,1,1,0,1948.8137
2,6,2,1,4,4,3,3,3,1,1,1,3,3,4,1,0,4,1,3,9,4,0,3400.0118
2,6,2,3,4,4,3,3,3,1,1,1,1,1,1,2,1,4,4,1,9,4,0,5238.4964
3,3,1,1,4,3,3,3,3,3,3,3,3,3,5,2,0,3,4,6,3,1,0,6465.8421
3,3,5,3,4,3,3,3,3,3,1,1,3,3,3,2,1,4,1,3,3,1,0,6293.5812
2,6,4,3,4,4,3,3,3,3,1,3,3,3,6,2,0,1,1,6,9,4,0,3851.7837
2,3,3,1,1,2,3,3,3,2,2,2,2,1,3,2,1,1,1,6,3,1,0,3092.5042
4,4,3,1,1,3,2,3,3,1,1,1,3,3,3,1,1,1,1,4,3,1,0,23350.3304
2,6,3,1,4,4,3,3,3,1,1,1,1,1,3,1,1,1,1,6,9,4,0,1965.5211
4,6,4,1,4,3,3,3,3,2,1,1,3,3,6,2,0,3,4,4,9,4,0,760.0591
2,6,4,3,4,4,3,3,3,3,1,3,3,3,6,1,0,3,1,2,9,4,0,1675.1517
5,4,4,3,1,3,3,3,3,2,1,1,3,3,5,2,0,1,1,6,1,1,0,3405.12
2,2,1,1,4,4,3,3,3,3,3,3,1,1,5,1,0,1,1,2,4,3,0,6894.681
1,6,4,1,4,4,3,3,3,3,3,1,3,3,6,1,0,1,4,1,9,4,0,31512.7878
2,5,3,1,1,2,3,3,3,3,3,1,3,1,3,2,1,1,3,6,1,1,0,18508.5444
2,6,5,3,1,4,3,3,3,3,1,1,3,3,4,2,1,1,3,5,9,4,0,17275.6971
2,6,4,1,4,4,1,3,3,3,3,1,3,3,5,1,0,1,1,2,9,4,0,35752.231
1,2,4,3,4,4,3,3,3,3,1,1,3,3,6,1,0,1,1,6,4,2,0,1053.071
4,6,3,3,3,3,3,3,3,1,1,1,3,3,5,2,0,3,1,7,9,4,3,448.1432
5,5,2,1,1,3,3,3,3,1,1,1,3,1,3,1,1,1,1,4,4,2,0,9578.2319
